S/NO,NAME OF COMPANY,ADDRESS,ZONE,STATE
1,Green Agriculture West African Ltd (GAWAL),"Warra Irrigation Scheme Ngaski LGA, Kebbi",North West,Kebbi
2,Maslaha Seeds Nigeria Limited,"Plot 87, Rijiya Road Gusau Industrial Estate, Gusau, Zamfara State.",North West,Zamfara
3,Premier Seeds Nigeria Limited,"Chikaji Industrial Estate, Zaria, Kaduna State",North West,Kaduna
4,West African Cotton Company Limited,"Km 15, Sokoto Road, Funtua, Katsina State",North West,Kastina
5,Chimande Nig. Ltd.,"PLT NO 17, KASTINA RD, KANO.",North West,Kano
6,Da-All Green Seeds Nig. Ltd.,"No. 1 MTD Road, off GRA Zaria, Kaduna State",North West,Kaduna
7,Kojoli Farms Limited.,"KM 2 KOJOLI-SOs ROAD,KOJOLI, ADAMAWA",North East,Adamawa
8,OLAM NIG. Ltd.,"OLAM RICE FARM, RUKUBI,DOMA L.G.A. NASSARAWA STATE.",North Central,Nasarawa
9,Rahama Integrated Farms Ltd.,"NO 1, GIDADO IDRIS ROAD, TAURUNI. Kano",North West,Kano
10,Terratiga Seed Limited,"105, Maganda Road, Kano, Kano State",North West,Kano
11,Value Seed limited,"No. 28/30 Niger Street, Kano, Kano State.",North West,Kano
12,A.A Albasu Nig Ltd,"P.O.Box 103 Funtua, Katsina State, No 68 Katsina Road, Funtua, Katsina State",NORTH WEST,KATSINA
13,Allied Ranch Nig ltd,"km 6 kaduna/FCT expressway, kaduna",NORTH WEST,KADUNA
14,AREWA Cotton & Allied Product LTD.,"NEW BUSA,NIGER STATE",North Central,Niger
15,Biocrops Biotechnology Company Limited,"4 Ngozi Okonjo Iweala way (old arab contractor’s yard) Utako, FCT",NORTH CENTRAL,FCT
16,BORA Agro Nig. LTD.,"IAR & T IBADAN,",South West,Oyo
17,Daddo Seed/Seedlings Limited – Yola,"Km 11, Noma Rd, Jemetta.Yola",North East,Adamawa
18,Dandutse Integrated Farms LTD.,NO 21 BAKOLORI BYE PASS FUNTUA,North West,Kaduna
19,EBSU Agri Business ENT. LTD.,"WATER WORKS RD, ABAKALIKI",South East,Ebonyi
20,Fast Growing Seeds Nig. Ltd,"No 35 Katsina Road, Umaru Yaro Plaza, Bakin Kasuwa, Funtua LGA, Katsina State",NORTH WEST,KATSINA
21,Fruits and Veggies Global Ltd,"Plot 10800, Du road, zawan, Jos, Plateau state",NORTH CENTRAL,PLATEAU
22,FUTA Business Development Company (FUTABDC),"Federal University of Technology PMB 704, Akure, Ondo State.",SOUTH WEST,ONDO
23,Gold Agric Nig. LTD.,"Plot No 1, Kachian Road, Kaduna Gaduwu bye-pass Near NNPC Kapam Rido Kaduna",North West,Kaduna
24,Goro Farms LTD.,"15, SOKOTO RD, OPPOSITE JEGA L.G.A. KEBBI STATE.",North West,Kebbi
25,Gouria Agricultural Ventures Ltd,"No 1, Yama Road, Zigau shirawo local government, Bauchi State",NORTH EAST,BAUCHI
26,Green Spore Nig. LTD.,"NO 110,  BY ITF HADEJIA RD, YANKABO. KANO",North West,Kano
27,Greengold Construct Nig. LTD.,"Km 24 FCT-Lokoja Road,Dabi.",North Central,FCT
28,Greenpal Global limited,"No. 1 Railway Junction, Gombe",North East,Gombe
29,IAR Seeds LTD.,IAR/ABU ZARIA,North West,Kaduna
30,Institute for Agricultural Research and Training (IAR&T),"Ibadan, Oyo state",South West,Oyo
31,Inter Product Seeds LTD.,"No 22, Niger Street, Kano",North West,Kano
32,Inter-Harvest Limited,"10, Gubi Housing Estate, Bauchi",NORTH EAST,BAUCHI
33,ITN Hydromak,"CP2/CP14 ISOZU BUILDING, CONSTITUTION RD. KADUNA",North-West,Kaduna
34,Jammy Nagari Seeds LTD.," NIFABO BUILDING,OPOSITE FUNTUA BRICKS,JABIRI JUNCTION,FUNTUA.",North West,Kaduna
35,Jigawa State Agricultural Supply Company (JASCO),"NO: 1 SANNI ABACHA WAY DUTSE,JIGAWA.",North West,Jigawa
36,Khairiyya seeds Nig ltd,"8,Mairobi angwar Rimi, Kaduna",NORTH WEST,KADUNA
37,Maina Seed – Kano,"No. 1 Kano Road, Ungogo LGA, Kano States",North West,Kano
38,Manoma Seed,"No 19 Dutse Reme, Katsina Road, Funtua, Katsina State",North West,Kastina
39,Nagari Seeds Nigeria Limited,"No.1 Sokoto Road, GRA, Zaria, Kaduna State",North West,Kaduna
40,"National Root Crop Research Institute, Umudike","National Root Crop Research Institute, Umudike (Federal Ministry of Agriculture and Rural Development)PMB 7006, Umuahia, Abia State",SOUTH EAST,Abia State
41,NI’IMA Integrated Services LTD.,"NO 25,YERO AVENUE,CHIKAJI IND. ESTATE. ZARIA.",North West,Kaduna
42,Niger Resource Ltd,"Km 32, Minna-Bida, Niger State",NORTH CENTRAL,NIGER
43,NWABUDO Agro Seeds And Inputs Company LTD.,"PLOT 36,FED LOW COST HOUSING ESTATE, UMUAHIA.",South East,Abia State
