Rainfall - (MM), Year, Statistics, Longitude, Latitude
1.6000000238419, 1991, Jan Average, 4.721108, 8.203092
61.700000762939, 1991, Feb Average, 4.721108, 8.203092
86.5, 1991, Mar Average, 4.721108, 8.203092
175, 1991, Apr Average, 4.721108, 8.203092
191, 1991, May Average, 4.721108, 8.203092
154.30000305176, 1991, Jun Average, 4.721108, 8.203092
258.5, 1991, Jul Average, 4.721108, 8.203092
207, 1991, Aug Average, 4.721108, 8.203092
261.60000610352, 1991, Sep Average, 4.721108, 8.203092
136.30000305176, 1991, Oct Average, 4.721108, 8.203092
2.9000000953674, 1991, Nov Average, 4.721108, 8.203092
4.0999999046326, 1991, Dec Average, 4.721108, 8.203092
0, 1992, Jan Average, 4.721108, 8.203092
0.30000001192093, 1992, Feb Average, 4.721108, 8.203092
15.400000572205, 1992, Mar Average, 4.721108, 8.203092
85.099998474121, 1992, Apr Average, 4.721108, 8.203092
157.30000305176, 1992, May Average, 4.721108, 8.203092
147, 1992, Jun Average, 4.721108, 8.203092
176.30000305176, 1992, Jul Average, 4.721108, 8.203092
75.5, 1992, Aug Average, 4.721108, 8.203092
310, 1992, Sep Average, 4.721108, 8.203092
112.70000457764, 1992, Oct Average, 4.721108, 8.203092
34.400001525879, 1992, Nov Average, 4.721108, 8.203092
0.20000000298023, 1992, Dec Average, 4.721108, 8.203092
0, 1993, Jan Average, 4.721108, 8.203092
14.699999809265, 1993, Feb Average, 4.721108, 8.203092
80.800003051758, 1993, Mar Average, 4.721108, 8.203092
57.5, 1993, Apr Average, 4.721108, 8.203092
154.60000610352, 1993, May Average, 4.721108, 8.203092
164.60000610352, 1993, Jun Average, 4.721108, 8.203092
116.80000305176, 1993, Jul Average, 4.721108, 8.203092
206.10000610352, 1993, Aug Average, 4.721108, 8.203092
285.80001831055, 1993, Sep Average, 4.721108, 8.203092
103.5, 1993, Oct Average, 4.721108, 8.203092
26.300001144409, 1993, Nov Average, 4.721108, 8.203092
7.0999999046326, 1993, Dec Average, 4.721108, 8.203092
23.39999961853, 1994, Jan Average, 4.721108, 8.203092
8, 1994, Feb Average, 4.721108, 8.203092
47.700000762939, 1994, Mar Average, 4.721108, 8.203092
172.69999694824, 1994, Apr Average, 4.721108, 8.203092
167, 1994, May Average, 4.721108, 8.203092
183.10000610352, 1994, Jun Average, 4.721108, 8.203092
143.69999694824, 1994, Jul Average, 4.721108, 8.203092
174.80000305176, 1994, Aug Average, 4.721108, 8.203092
239.40000915527, 1994, Sep Average, 4.721108, 8.203092
203.40000915527, 1994, Oct Average, 4.721108, 8.203092
4.4000000953674, 1994, Nov Average, 4.721108, 8.203092
1.7000000476837, 1994, Dec Average, 4.721108, 8.203092
0, 1995, Jan Average, 4.721108, 8.203092
27.700000762939, 1995, Feb Average, 4.721108, 8.203092
65.400001525879, 1995, Mar Average, 4.721108, 8.203092
133.60000610352, 1995, Apr Average, 4.721108, 8.203092
175, 1995, May Average, 4.721108, 8.203092
198.69999694824, 1995, Jun Average, 4.721108, 8.203092
223.60000610352, 1995, Jul Average, 4.721108, 8.203092
268.20001220703, 1995, Aug Average, 4.721108, 8.203092
210, 1995, Sep Average, 4.721108, 8.203092
171.10000610352, 1995, Oct Average, 4.721108, 8.203092
45.200000762939, 1995, Nov Average, 4.721108, 8.203092
2.5, 1995, Dec Average, 4.721108, 8.203092
2, 1996, Jan Average, 4.721108, 8.203092
29.89999961853, 1996, Feb Average, 4.721108, 8.203092
70.800003051758, 1996, Mar Average, 4.721108, 8.203092
211.10000610352, 1996, Apr Average, 4.721108, 8.203092
151.10000610352, 1996, May Average, 4.721108, 8.203092
163.10000610352, 1996, Jun Average, 4.721108, 8.203092
155.30000305176, 1996, Jul Average, 4.721108, 8.203092
190.30000305176, 1996, Aug Average, 4.721108, 8.203092
260, 1996, Sep Average, 4.721108, 8.203092
101.20000457764, 1996, Oct Average, 4.721108, 8.203092
0.69999998807907, 1996, Nov Average, 4.721108, 8.203092
0, 1996, Dec Average, 4.721108, 8.203092
7.9000000953674, 1997, Jan Average, 4.721108, 8.203092
0, 1997, Feb Average, 4.721108, 8.203092
105, 1997, Mar Average, 4.721108, 8.203092
159.30000305176, 1997, Apr Average, 4.721108, 8.203092
178, 1997, May Average, 4.721108, 8.203092
242.69999694824, 1997, Jun Average, 4.721108, 8.203092
121.20000457764, 1997, Jul Average, 4.721108, 8.203092
104.90000152588, 1997, Aug Average, 4.721108, 8.203092
251.5, 1997, Sep Average, 4.721108, 8.203092
157.60000610352, 1997, Oct Average, 4.721108, 8.203092
12.699999809265, 1997, Nov Average, 4.721108, 8.203092
5.8000001907349, 1997, Dec Average, 4.721108, 8.203092
10.400000572205, 1998, Jan Average, 4.721108, 8.203092
26.800001144409, 1998, Feb Average, 4.721108, 8.203092
62.400001525879, 1998, Mar Average, 4.721108, 8.203092
110.59999847412, 1998, Apr Average, 4.721108, 8.203092
157.10000610352, 1998, May Average, 4.721108, 8.203092
189, 1998, Jun Average, 4.721108, 8.203092
187.80000305176, 1998, Jul Average, 4.721108, 8.203092
223.10000610352, 1998, Aug Average, 4.721108, 8.203092
255.30000305176, 1998, Sep Average, 4.721108, 8.203092
154.69999694824, 1998, Oct Average, 4.721108, 8.203092
9.8000001907349, 1998, Nov Average, 4.721108, 8.203092
4.3000001907349, 1998, Dec Average, 4.721108, 8.203092
3.2999999523163, 1999, Jan Average, 4.721108, 8.203092
40.400001525879, 1999, Feb Average, 4.721108, 8.203092
48.400001525879, 1999, Mar Average, 4.721108, 8.203092
112.30000305176, 1999, Apr Average, 4.721108, 8.203092
100.20000457764, 1999, May Average, 4.721108, 8.203092
182.69999694824, 1999, Jun Average, 4.721108, 8.203092
271.70001220703, 1999, Jul Average, 4.721108, 8.203092
177.40000915527, 1999, Aug Average, 4.721108, 8.203092
207, 1999, Sep Average, 4.721108, 8.203092
205.90000915527, 1999, Oct Average, 4.721108, 8.203092
11.699999809265, 1999, Nov Average, 4.721108, 8.203092
1.3999999761581, 1999, Dec Average, 4.721108, 8.203092
1.6000000238419, 2000, Jan Average, 4.721108, 8.203092
0.90000003576279, 2000, Feb Average, 4.721108, 8.203092
23.5, 2000, Mar Average, 4.721108, 8.203092
99.800003051758, 2000, Apr Average, 4.721108, 8.203092
127.30000305176, 2000, May Average, 4.721108, 8.203092
228.10000610352, 2000, Jun Average, 4.721108, 8.203092
169.30000305176, 2000, Jul Average, 4.721108, 8.203092
184, 2000, Aug Average, 4.721108, 8.203092
262.30001831055, 2000, Sep Average, 4.721108, 8.203092
144.30000305176, 2000, Oct Average, 4.721108, 8.203092
3.2999999523163, 2000, Nov Average, 4.721108, 8.203092
0.5, 2000, Dec Average, 4.721108, 8.203092
4.7000002861023, 2001, Jan Average, 4.721108, 8.203092
3.7000000476837, 2001, Feb Average, 4.721108, 8.203092
15, 2001, Mar Average, 4.721108, 8.203092
83.900001525879, 2001, Apr Average, 4.721108, 8.203092
105.09999847412, 2001, May Average, 4.721108, 8.203092
174.5, 2001, Jun Average, 4.721108, 8.203092
82.099998474121, 2001, Jul Average, 4.721108, 8.203092
123.09999847412, 2001, Aug Average, 4.721108, 8.203092
264, 2001, Sep Average, 4.721108, 8.203092
67.300003051758, 2001, Oct Average, 4.721108, 8.203092
2.7000000476837, 2001, Nov Average, 4.721108, 8.203092
0.40000000596046, 2001, Dec Average, 4.721108, 8.203092
12.60000038147, 2002, Jan Average, 4.721108, 8.203092
0, 2002, Feb Average, 4.721108, 8.203092
55.299999237061, 2002, Mar Average, 4.721108, 8.203092
87.099998474121, 2002, Apr Average, 4.721108, 8.203092
115.80000305176, 2002, May Average, 4.721108, 8.203092
201.69999694824, 2002, Jun Average, 4.721108, 8.203092
190.19999694824, 2002, Jul Average, 4.721108, 8.203092
198.30000305176, 2002, Aug Average, 4.721108, 8.203092
167, 2002, Sep Average, 4.721108, 8.203092
206.90000915527, 2002, Oct Average, 4.721108, 8.203092
4.4000000953674, 2002, Nov Average, 4.721108, 8.203092
0.10000000149012, 2002, Dec Average, 4.721108, 8.203092
20.39999961853, 2003, Jan Average, 4.721108, 8.203092
23.39999961853, 2003, Feb Average, 4.721108, 8.203092
33.799999237061, 2003, Mar Average, 4.721108, 8.203092
148.5, 2003, Apr Average, 4.721108, 8.203092
126, 2003, May Average, 4.721108, 8.203092
202.60000610352, 2003, Jun Average, 4.721108, 8.203092
171.10000610352, 2003, Jul Average, 4.721108, 8.203092
228.10000610352, 2003, Aug Average, 4.721108, 8.203092
343.20001220703, 2003, Sep Average, 4.721108, 8.203092
173.90000915527, 2003, Oct Average, 4.721108, 8.203092
31.200000762939, 2003, Nov Average, 4.721108, 8.203092
0.10000000149012, 2003, Dec Average, 4.721108, 8.203092
18, 2004, Jan Average, 4.721108, 8.203092
13.800000190735, 2004, Feb Average, 4.721108, 8.203092
13.5, 2004, Mar Average, 4.721108, 8.203092
129.10000610352, 2004, Apr Average, 4.721108, 8.203092
181.40000915527, 2004, May Average, 4.721108, 8.203092
168.90000915527, 2004, Jun Average, 4.721108, 8.203092
218.19999694824, 2004, Jul Average, 4.721108, 8.203092
155.90000915527, 2004, Aug Average, 4.721108, 8.203092
301.20001220703, 2004, Sep Average, 4.721108, 8.203092
150.19999694824, 2004, Oct Average, 4.721108, 8.203092
15.199999809265, 2004, Nov Average, 4.721108, 8.203092
1.1000000238419, 2004, Dec Average, 4.721108, 8.203092
0, 2005, Jan Average, 4.721108, 8.203092
26.700000762939, 2005, Feb Average, 4.721108, 8.203092
75.200004577637, 2005, Mar Average, 4.721108, 8.203092
65.800003051758, 2005, Apr Average, 4.721108, 8.203092
119.30000305176, 2005, May Average, 4.721108, 8.203092
164.60000610352, 2005, Jun Average, 4.721108, 8.203092
184, 2005, Jul Average, 4.721108, 8.203092
132, 2005, Aug Average, 4.721108, 8.203092
189.60000610352, 2005, Sep Average, 4.721108, 8.203092
122.5, 2005, Oct Average, 4.721108, 8.203092
5.3000001907349, 2005, Nov Average, 4.721108, 8.203092
0.5, 2005, Dec Average, 4.721108, 8.203092
16.200000762939, 2006, Jan Average, 4.721108, 8.203092
12.800000190735, 2006, Feb Average, 4.721108, 8.203092
33.5, 2006, Mar Average, 4.721108, 8.203092
73.700004577637, 2006, Apr Average, 4.721108, 8.203092
177.10000610352, 2006, May Average, 4.721108, 8.203092
137.60000610352, 2006, Jun Average, 4.721108, 8.203092
122.20000457764, 2006, Jul Average, 4.721108, 8.203092
158.19999694824, 2006, Aug Average, 4.721108, 8.203092
302.30001831055, 2006, Sep Average, 4.721108, 8.203092
169.60000610352, 2006, Oct Average, 4.721108, 8.203092
17.60000038147, 2006, Nov Average, 4.721108, 8.203092
0, 2006, Dec Average, 4.721108, 8.203092
0, 2007, Jan Average, 4.721108, 8.203092
16.39999961853, 2007, Feb Average, 4.721108, 8.203092
29.89999961853, 2007, Mar Average, 4.721108, 8.203092
104.90000152588, 2007, Apr Average, 4.721108, 8.203092
209, 2007, May Average, 4.721108, 8.203092
209.90000915527, 2007, Jun Average, 4.721108, 8.203092
203, 2007, Jul Average, 4.721108, 8.203092
205.30000305176, 2007, Aug Average, 4.721108, 8.203092
282.39999389648, 2007, Sep Average, 4.721108, 8.203092
134.30000305176, 2007, Oct Average, 4.721108, 8.203092
16.60000038147, 2007, Nov Average, 4.721108, 8.203092
5.3000001907349, 2007, Dec Average, 4.721108, 8.203092
1, 2008, Jan Average, 4.721108, 8.203092
18.10000038147, 2008, Feb Average, 4.721108, 8.203092
37.600002288818, 2008, Mar Average, 4.721108, 8.203092
67.700004577637, 2008, Apr Average, 4.721108, 8.203092
190.90000915527, 2008, May Average, 4.721108, 8.203092
218.60000610352, 2008, Jun Average, 4.721108, 8.203092
265.89999389648, 2008, Jul Average, 4.721108, 8.203092
172.90000915527, 2008, Aug Average, 4.721108, 8.203092
275.70001220703, 2008, Sep Average, 4.721108, 8.203092
160.80000305176, 2008, Oct Average, 4.721108, 8.203092
6.7000002861023, 2008, Nov Average, 4.721108, 8.203092
14.60000038147, 2008, Dec Average, 4.721108, 8.203092
5.3000001907349, 2009, Jan Average, 4.721108, 8.203092
15.900000572205, 2009, Feb Average, 4.721108, 8.203092
40.5, 2009, Mar Average, 4.721108, 8.203092
109, 2009, Apr Average, 4.721108, 8.203092
109.59999847412, 2009, May Average, 4.721108, 8.203092
215.30000305176, 2009, Jun Average, 4.721108, 8.203092
188.80000305176, 2009, Jul Average, 4.721108, 8.203092
169.69999694824, 2009, Aug Average, 4.721108, 8.203092
187.60000610352, 2009, Sep Average, 4.721108, 8.203092
192.19999694824, 2009, Oct Average, 4.721108, 8.203092
23.10000038147, 2009, Nov Average, 4.721108, 8.203092
2.2000000476837, 2009, Dec Average, 4.721108, 8.203092
2.2000000476837, 2010, Jan Average, 4.721108, 8.203092
14.400000572205, 2010, Feb Average, 4.721108, 8.203092
44.5, 2010, Mar Average, 4.721108, 8.203092
