mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
-0.51,"63 km ENE of Pedro Bay, Alaska",1710201228230,1710287403300,,https://earthquake.usgs.gov/earthquakes/eventpage/av92228806,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av92228806&format=geojson,,,,,reviewed,0,0,av,92228806,",av92228806,",",av,",",origin,phase-data,",4.0,,0.07,198.0,ml,earthquake,"M -0.5 - 63 km ENE of Pedro Bay, Alaska"
0.48,"6 km W of Cobb, CA",1710199954540,1710202607643,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74015986,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74015986&format=geojson,,,,,reviewed,0,4,nc,74015986,",nc74015986,",",nc,",",nearby-cities,origin,phase-data,",18.0,0.009049,0.02,55.0,md,earthquake,"M 0.5 - 6 km W of Cobb, CA"
-0.04,"86 km NW of Karluk, Alaska",1710199897370,1710290998210,,https://earthquake.usgs.gov/earthquakes/eventpage/av91136228,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91136228&format=geojson,,,,,reviewed,0,0,av,91136228,",av91136228,",",av,",",origin,phase-data,",8.0,,0.09,194.0,ml,earthquake,"M 0.0 - 86 km NW of Karluk, Alaska"
1.14,"7 km WNW of Cobb, CA",1710199672020,1710199766950,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74015981,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74015981&format=geojson,,,,,automatic,0,20,nc,74015981,",nc74015981,",",nc,",",nearby-cities,origin,phase-data,",10.0,0.007802,0.01,107.0,md,earthquake,"M 1.1 - 7 km WNW of Cobb, CA"
-0.12,"86 km NNW of Karluk, Alaska",1710198843270,1710290654710,,https://earthquake.usgs.gov/earthquakes/eventpage/av91136223,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91136223&format=geojson,,,,,reviewed,0,0,av,91136223,",av91136223,",",av,",",origin,phase-data,",9.0,,0.06,81.0,ml,earthquake,"M -0.1 - 86 km NNW of Karluk, Alaska"
1.05,"13 km N of Castaic, CA",1710198780540,1710266101046,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40685832,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40685832&format=geojson,,,,,reviewed,0,17,ci,40685832,",ci40685832,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",21.0,0.06434,0.2,67.0,ml,earthquake,"M 1.1 - 13 km N of Castaic, CA"
0.23,"85 km NNW of Karluk, Alaska",1710198772520,1710290007700,,https://earthquake.usgs.gov/earthquakes/eventpage/av91136218,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91136218&format=geojson,,,,,reviewed,0,1,av,91136218,",av91136218,",",av,",",origin,phase-data,",7.0,,0.07,90.0,ml,earthquake,"M 0.2 - 85 km NNW of Karluk, Alaska"
-0.3,"85 km NNW of Karluk, Alaska",1710198662430,1710289468670,,https://earthquake.usgs.gov/earthquakes/eventpage/av91136208,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91136208&format=geojson,,,,,reviewed,0,0,av,91136208,",av91136208,",",av,",",origin,phase-data,",8.0,,0.19,97.0,ml,earthquake,"M -0.3 - 85 km NNW of Karluk, Alaska"
1.29,"20 km E of Little Lake, CA",1710198620300,1710265778937,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40685824,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40685824&format=geojson,,,,,reviewed,0,26,ci,40685824,",ci40685824,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",24.0,0.02899,0.13,64.0,ml,earthquake,"M 1.3 - 20 km E of Little Lake, CA"
0.86,"6 km W of Cobb, CA",1710198614650,1710198710728,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74015956,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74015956&format=geojson,,,,,automatic,0,11,nc,74015956,",nc74015956,",",nc,",",nearby-cities,origin,phase-data,",13.0,0.009992,0.04,67.0,md,earthquake,"M 0.9 - 6 km W of Cobb, CA"
