date,datatype,station,attributes,value
2023-03-01T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",3.9
2023-03-01T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",6.7
2023-03-01T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",0.6
2023-03-02T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",6.3
2023-03-02T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",11.7
2023-03-02T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",3.9
2023-03-03T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",5.3
2023-03-03T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",7.8
2023-03-03T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",3.3
2023-03-04T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",5.5
2023-03-04T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",7.8
2023-03-04T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",3.3
2023-03-05T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",6.4
2023-03-05T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",11.7
2023-03-05T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",3.9
2023-03-06T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",7.8
2023-03-06T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",11.7
2023-03-06T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",4.4
2023-03-07T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",5.6
2023-03-07T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",8.3
2023-03-07T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",0.6
2023-03-08T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",3.2
2023-03-08T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",8.3
2023-03-08T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",0.0
2023-03-09T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",4.9
2023-03-09T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",10.0
2023-03-09T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",1.1
2023-03-10T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",4.6
2023-03-10T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",7.8
2023-03-10T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",1.7
2023-03-11T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",4.9
2023-03-11T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",6.7
2023-03-11T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",2.2
2023-03-12T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",4.5
2023-03-12T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",7.8
2023-03-12T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",1.1
2023-03-13T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",5.4
2023-03-13T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",7.8
2023-03-13T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",3.9
2023-03-14T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",3.3
2023-03-14T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",4.4
2023-03-14T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",1.7
2023-03-15T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",3.4
2023-03-15T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",7.2
2023-03-15T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",1.7
2023-03-16T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",6.3
2023-03-16T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",15.0
2023-03-16T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",2.2
2023-03-17T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",10.9
2023-03-17T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",15.0
2023-03-17T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",7.2
2023-03-18T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",10.4
2023-03-18T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",13.3
2023-03-18T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",5.0
2023-03-19T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",3.1
2023-03-19T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",5.0
2023-03-19T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",-0.5
2023-03-20T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",4.2
2023-03-20T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",10.0
2023-03-20T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",1.1
2023-03-21T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",9.9
2023-03-21T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",16.7
2023-03-21T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",4.4
2023-03-22T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",11.6
2023-03-22T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",15.0
2023-03-22T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",8.9
2023-03-23T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",11.1
2023-03-23T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",16.1
2023-03-23T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",8.3
2023-03-24T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",10.7
2023-03-24T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",14.4
2023-03-24T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",6.7
2023-03-25T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",7.3
2023-03-25T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",7.8
2023-03-25T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",5.6
2023-03-26T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",10.1
2023-03-26T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",17.2
2023-03-26T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",5.6
2023-03-27T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",11.0
2023-03-27T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",14.4
2023-03-27T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",6.1
2023-03-28T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",7.7
2023-03-28T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",11.1
2023-03-28T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",5.6
2023-03-29T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",8.2
2023-03-29T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",12.8
2023-03-29T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",4.4
2023-03-30T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",4.4
2023-03-30T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",7.8
2023-03-30T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",0.0
2023-03-31T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",7.1
2023-03-31T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",13.3
2023-03-31T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",3.3
